tps,Innodb_rows_deleted,Innodb_rows_inserted,Innodb_rows_read,Innodb_rows_updated
16,12826,12826,2706212,264
32,24919,24919,5369179,524
64,47373,47373,10683315,1042
128,76348,76348,18686843,1821
256,93089,93089,23372336,2282
512,101912,101912,28547125,2786
1024,160717,160717,53397837,5210
2048,454742,454742,190227170,18559
