threads,read,write,other,total
16, 27984 ,25694 , 8 , 53686
32, 51940 ,47220 , 24 , 99184
64, 104092 ,89207 , 86 , 193385
128, 188468 ,145551 , 319 , 334338
256, 222388 ,154113 , 532 , 377033
512, 333264 ,205918 , 952 , 540134
1024, 997248 ,471055 , 3821 , 1472124
2048, 5308480 ,1743196 , 24445 , 7076121
